#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Eleutheronema tetradactylum,210139,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Enoplosus armatus,215367,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Labeo lineatus,304045,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Ornebius kanetataki,1980616,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Pharus lappulaceus,38687,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Polyplectron bicalcaratum,9059,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Silurus lanzhouensis,395014,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cyberlindnera maclurae,65811,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Epinephelus moara,300413,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Chondrilla aff. nucula CHOND,479638,Opisthokonta_Metazoa,Porifera,Demospongiae,Anaerobic_mitochondria,None
Phraortes illepidus,590990,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Kwoniella dejecticola CBS 10117,1296121,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Pseudemydura umbrina,44510,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Labeo cyclorhynchus,643367,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Aspergillus tubingensis CBS 134.48,767770,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Addax nasomaculatus,59515,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Scutopus robustus,2109553,Opisthokonta_Metazoa,Mollusca,Caudofoveata,Aerobic_mitochondria,None
Vitis palmata,754102,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Hemignathus virens,64799,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Talpa occidentalis,50954,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pisolithus microcarpus 441,765257,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Thunnus thynnus thynnus,8242,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Huntiella omanensis,1580864,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Tegula lividomaculata,1764038,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Potentilla centigrana,714646,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Tupaia chinensis,246437,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Physalis peruviana,126903,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Brachycybe lecontii,1176341,Opisthokonta_Metazoa,Arthropoda,Diplopoda,Aerobic_mitochondria,None
Spinacia oleracea,3562,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Anomaloglossus baeobatrachus,238106,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Aphyosemion gabunense,60284,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Platysmacheilus longibarbatus,328549,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cladosporium sp. TM138-S3,2716165,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Aristolochia kunmingensis,1907485,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Scheffersomyces lignosus,1111081,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Exophiala sideris,1016849,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Cercospora sojina,438356,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Aristida ternipes,348265,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Broussonetia papyrifera,172644,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Camellia yunnanensis,194713,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Callosobruchus maculatus,64391,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Microcebus ravelobensis,122231,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Beta patula,1505710,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Acipenser ruthenus,7906,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Meyerozyma guilliermondii,4929,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Ascobolus immersus RN42,1160509,Opisthokonta_Fungi,Ascomycota,Pezizomycetes,Aerobic_mitochondria,None 
Cryphonectria parasitica,5116,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
[Candida] gorgasii,271357,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Cornus nuttallii,60120,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lepilemur dorsalis,78583,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Masdevallia coccinea,125431,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cottus czerskii,157167,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Antheraea yamamai,7121,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Galium mollugo,254777,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Garrulax poecilorhynchus,238859,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Hormathia digitata,1163372,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Microhyla okinavensis,387933,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Primulina huaijiensis,1492673,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
[Candida] torresii,45599,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Haplothrips aculeatus,450991,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Ligustrum vulgare,13597,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Prunus pseudocerasus,151439,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Coleophoma cylindrospora,1849047,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Sedum oryzifolium,91144,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Tetrix ruyuanensis,215055,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Corallium rubrum,142104,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Epinephelus coioides,94232,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Protomyces inouyei,27332,Opisthokonta_Fungi,Ascomycota,Taphrinomycetes,Aerobic_mitochondria,None 
Aletris spicata,119992,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bison bonasus,9902,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Percilia irwini,270588,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Yarrowia osloensis,388557,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Acanthocepola krusensternii,270597,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cololabis saira,129043,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pampus chinensis,334873,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Abies fanjingshanensis,745662,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Epinephelus areolatus,160715,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Candida maltosa Xu316,1245528,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Golovinomyces magnicellulatus,62714,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Mucor lusitanicus CBS 277.49,747725,Opisthokonta_Fungi,Mucoromycota,Mucoromycetes,Undescribed,None 
Osteoglossum bicirrhosum,109271,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Quadrula quadrula,52372,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Taractichthys steindachneri,443728,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Lamprotula coreana,675834,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Amphicarpum muhlenbergianum,1056843,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cornus controversa,60118,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Kamimuria chungnanshana,1720338,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Eristalis tenax,198635,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Monolepta quadriguttata,1254971,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Anas clypeata,75838,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Armillaria gallica,47427,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Glycosmis pentaphylla,76967,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Saccharomyces kudriavzevii FM1062,1163641,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Termes hospes,187522,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Alaus oculatus,374458,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Silene paradoxa,129946,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Pinus taiwanensis,261914,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Trogolegnum pseudambulyx,1088318,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Stramenopiles sp. TOSAG23-6,1735747,SAR_Stramenopiles,Stramenopiles,unclassified stramenopiles,Unknown,Unknown
Actaea asiatica,64022,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Apteryx haastii,8823,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Callosciurus erythraeus,64677,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Paracanthurus hepatus,75030,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Epichloe elymi E56,1226778,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Pedicularis oederi,326839,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Sporobolus alterniflorus,29706,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Chaunax pictus,242967,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Clupeichthys perakensis,689641,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Anguilla australis australis,86961,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Bipes tridactylus,273520,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Solemya velesiana,395966,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Sarotherodon linnellii,296555,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Puntigrus tetrazona,1606681,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Neurospora sublineolata FGSC 5508,1266767,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Platysmacheilus nudiventris,1564185,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pichia membranifaciens NRRL Y-2026,763406,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Paramormyrops gabonensis,91733,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Tilia mandshurica,210368,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Amphipogon turbinatus,1400639,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Alternaria brassicae,29911,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Astrotoma agassizii,462866,Opisthokonta_Metazoa,Echinodermata,Ophiuroidea,Undescribed,None
Piofontia inesiana,587512,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Verticillium alfalfae VaMs.102,526221,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Aotus azarai,30591,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Candida albicans P37005,1094985,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Cullen corylifolium,429560,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Anisandrus dispar,748732,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Gadopsis bispinosus,135754,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Ombrastacoides huonensis,217112,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Huperzia lucidula,37429,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Rhabditophanes sp. KR3021,114890,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Mesocricetus auratus,10036,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Peniophora sp. CONT,1314672,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Bryodema dolichoptera,2708001,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cuscuta boldinghii,437623,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lynx canadensis,61383,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Otolemur garnettii,30611,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Glyphodes pyloalis,1242752,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Metzia lineata,369685,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Castanopsis echinocarpa,167385,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Priceomyces castillae,45501,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Palythoa heliodiscus,334445,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Auricularia subglabra TFB-10046 SS5,717982,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Parotia lawesii,39961,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Phaeomoniella chlamydospora,158046,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Rhizopus microsporus,58291,Opisthokonta_Fungi,Mucoromycota,Mucoromycetes,Undescribed,None 
Aspergillus steynii IBT 23096,1392250,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Neocinnamomum mekongense,128653,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bothriochloa decipiens,883134,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Capsaspora owczarzaki ATCC 30864,595528,Opisthokonta_Filasterea,Filasterea,Filasterea,Aerobic_mitochondria,None 
Rhamphochromis esox,163638,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Aphanomyces astaci,112090,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Rhynchosporium secalis,38038,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Mus cookii,10098,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Gymnopus luxurians FD-317 M1,944289,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Hermetia illucens,343691,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Neottia nidus-avis,48534,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Furculitermes cubitalis,1934486,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Halichoerus grypus,9711,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pseudohelice subquadrata,456398,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Holacanthus ciliaris,75024,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Ricotia cretica,664052,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Trametes polyzona,239206,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Psittacula eupatria,232655,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Euphorbia esula,3993,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Heterorhabditis bacteriophora,37862,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Lacerta viridis,65476,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Blaptica dubia,132935,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Caenorhabditis plicata,281681,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Callitropsis nootkatensis,85954,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Tringa glareola,171269,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Hoplichthys gilberti,270558,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Boulengerula taitana,102246,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Megaleporinus piavussu,1396868,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Dictyopteris divaricata,156996,SAR_Stramenopiles,Stramenopiles,Phaeophyceae,Aerobic_mitochondria,Secondary_red_plastid
Malassezia furfur,55194,Opisthokonta_Fungi,Basidiomycota,Malasseziomycetes,Aerobic_mitochondria,None 
Chaetothyriales sp. CBS 135597,2249420,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Callyspongia plicifera,178539,Opisthokonta_Metazoa,Porifera,Demospongiae,Anaerobic_mitochondria,None
Aspergillus udagawae,91492,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Brontostoma colossus,1532881,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Caecilia volcani,543901,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Glyptocidaris crenularis,31907,Opisthokonta_Metazoa,Echinodermata,Echinoidea,Undescribed,None
Viola phalacrocarpa,316486,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Dendrophthoe pentandra,227894,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Chionodraco rastrospinosus,34790,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Psilorhynchus homaloptera,327762,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Boa constrictor,8574,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Diabrotica virgifera virgifera,50390,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Eulemur fulvus,13515,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Saccharomycopsis sp. UWO(PS) 91-127.1,1504575,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Tuber indicum,55307,Opisthokonta_Fungi,Ascomycota,Pezizomycetes,Aerobic_mitochondria,None 
Fischoederius elongatus,691745,Opisthokonta_Metazoa,Platyhelminthes,Trematoda,Undescribed,None
Hydrangea densifolia,346431,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Trinectes maculatus,195658,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Decapterus maruadsi,58220,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Amphiprion polymnus,96882,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Boletus speciosus,374761,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Spergula arvensis,325515,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Saccharomyces cerevisiae YJM1573,1294385,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Nannospalax judaei,134510,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Coturnix chinensis,46218,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Solenopsis richteri,30203,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cyclopes didactylus,84074,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Spheniscus magellanicus,37081,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Quercus mongolica,103485,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Paracheirodon innesi,42492,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Schizomeris leibleinii,104533,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Anaerobic_mitochondria,Primary_green_plastid 
Rhaphiolepis impressivena,2675829,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Eurycea cirrigera,332575,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Prunella strophiata,1351675,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Lactarius piperatus,71966,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Lipomyces starkeyi NRRL Y-11557,675824,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Equisetum arvense,3258,Archaeplastida_Viridiplantae,Streptophyta,Polypodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Neottia cordata,669720,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Hongeo koreana,1352416,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Carpinus monbeigiana,176859,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Pseudocarcharias kamoharai,57991,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Aerobic_mitochondria,None
Hypoxylon sp. CO27-5,1001938,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Phlegmariurus squarrosus,73615,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Camaena cicatricosa,1550735,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Odontotermes javanicus,201590,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Papilio maackii,76201,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Gomphocerus sibiricus,1007316,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Plasmodium falciparum 365.1,1245018,SAR_Alveolata,Alveolata,Apicomplexa,Aerobic_mitochondria,Secondary_red_plastid_Apicoplast
Caloperdix oculeus,466541,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Lythrurus ardens,36786,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Phlaeoba infumata,227577,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
[Candida] castellii CBS 4332,1279086,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Rhea americana,8797,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Pyrus pyrifolia,3767,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Philesturnus carunculatus,192213,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Pseudochauhanea macrorchis,1086615,Opisthokonta_Metazoa,Platyhelminthes,Monogenea,Undescribed,None
Rhizopus delemar Type II NRRL 21446,1279484,Opisthokonta_Fungi,Mucoromycota,Mucoromycetes,Undescribed,None 
Habenaria radiata,342001,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Christensenia aesculifolia,491817,Archaeplastida_Viridiplantae,Streptophyta,Polypodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Nuttallia olivacea,1125678,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
